Threads	Scale	NumSpheres	Timesteps	Total Time	Total Collisions	Wall Collisions	Sphere Collisions	Total Checks	Avg. Checks per Timestep	Avg. Timesteps per Second	Avg. Milliseconds per Timestep	Time Dilation	Total Threads
1	32	4096	1920	8.1046	53769	48304	5465	7864320	4096	236.902	4.22115	3.7016	1	
1	32	8192	1920	37.2335	119306	97823	21483	15728640	8192	51.5665	19.3924	0.805727	1	
1	64	4096	1920	4.83666	31523	30744	779	7864320	4096	396.968	2.51909	6.20263	1	
1	64	8192	1920	18.905	64653	61459	3194	15728640	8192	101.561	9.84633	1.58689	1	
1	128	4096	1920	3.17488	19876	19775	101	7864320	4096	604.747	1.65358	9.44917	1	
1	128	8192	1920	12.6721	39574	39147	427	15728640	8192	151.514	6.60007	2.3674	1	
2	32	4096	1920	6.47224	53891	48421	5470	7864320	4096	296.651	3.37096	4.63518	2	
2	32	8192	1920	23.3619	119361	97476	21885	15728640	8192	82.1852	12.1676	1.28414	2	
2	64	4096	1920	3.48483	31482	30729	753	7864320	4096	550.96	1.81502	8.60874	2	
2	64	8192	1920	12.8396	64529	61376	3153	15728640	8192	149.538	6.68728	2.33653	2	
2	128	4096	1920	2.664	19870	19770	100	7864320	4096	720.72	1.3875	11.2612	2	
2	128	8192	1920	8.37015	39517	39102	415	15728640	8192	229.386	4.35945	3.58416	2	
3	32	4096	1920	5.62236	53661	48257	5404	7864320	4096	341.493	2.92831	5.33583	3	
3	32	8192	1920	21.8824	120777	98732	22045	15728640	8192	87.7419	11.3971	1.37097	3	
3	64	4096	1920	3.69202	31458	30710	748	7864320	4096	520.041	1.92292	8.12564	3	
3	64	8192	1920	11.9759	64081	61002	3079	15728640	8192	160.322	6.23745	2.50503	3	
3	128	4096	1920	3.7648	19861	19762	99	7864320	4096	509.987	1.96083	7.96854	3	
3	128	8192	1920	8.61696	39559	39145	414	15728640	8192	222.816	4.488	3.48151	3	
4	32	4096	1920	5.31271	53942	48616	5326	7864320	4096	361.397	2.76704	5.64683	4	
4	32	8192	1920	21.2793	119497	97252	22245	15728640	8192	90.2285	11.083	1.40982	4	
4	64	4096	1920	5.00825	31428	30636	792	7864320	4096	383.367	2.60846	5.99011	4	
4	64	8192	1920	11.8714	64304	61199	3105	15728640	8192	161.733	6.18302	2.52708	4	
4	128	4096	1920	4.37152	19861	19760	101	7864320	4096	439.206	2.27683	6.8626	4	
4	128	8192	1920	8.37658	39505	39102	403	15728640	8192	229.211	4.3628	3.58141	4	
5	32	4096	1920	5.8559	53941	48417	5524	7864320	4096	327.875	3.04995	5.12304	5	
5	32	8192	1920	19.8667	119386	97477	21909	15728640	8192	96.6441	10.3472	1.51006	5	
5	64	4096	1920	5.46355	31426	30660	766	7864320	4096	351.42	2.8456	5.49094	5	
5	64	8192	1920	11.5373	64154	61144	3010	15728640	8192	166.417	6.00901	2.60026	5	
5	128	4096	1920	3.81259	19869	19766	103	7864320	4096	503.595	1.98572	7.86867	5	
5	128	8192	1920	8.91755	39415	39034	381	15728640	8192	215.306	4.64456	3.36415	5	
6	32	4096	1920	7.46811	54105	48710	5395	7864320	4096	257.093	3.88964	4.01708	6	
6	32	8192	1920	18.629	118715	96973	21742	15728640	8192	103.065	9.70261	1.61039	6	
6	64	4096	1920	5.48307	31390	30678	712	7864320	4096	350.169	2.85577	5.47139	6	
6	64	8192	1920	11.295	64479	61362	3117	15728640	8192	169.987	5.88279	2.65605	6	
6	128	4096	1920	3.96738	19859	19757	102	7864320	4096	483.946	2.06635	7.56166	6	
6	128	8192	1920	9.06072	39496	39090	406	15728640	8192	211.904	4.71912	3.311	6	
7	32	4096	1920	7.5556	54106	48637	5469	7864320	4096	254.116	3.93521	3.97056	7	
7	32	8192	1920	17.7138	118710	96666	22044	15728640	8192	108.39	9.22595	1.69359	7	
7	64	4096	1920	5.39048	31241	30499	742	7864320	4096	356.184	2.80754	5.56537	7	
7	64	8192	1920	11.3585	64130	61070	3060	15728640	8192	169.037	5.91588	2.6412	7	
7	128	4096	1920	3.95204	19856	19757	99	7864320	4096	485.825	2.05835	7.59102	7	
7	128	8192	1920	10.2218	39466	39076	390	15728640	8192	187.834	5.32385	2.93491	7	
8	32	4096	1920	8.09992	53883	48455	5428	7864320	4096	237.039	4.21871	3.70374	8	
8	32	8192	1920	17.5585	119044	97273	21771	15728640	8192	109.348	9.14508	1.70857	8	
8	64	4096	1920	5.33495	31525	30787	738	7864320	4096	359.891	2.77862	5.62329	8	
8	64	8192	1920	11.7971	64266	61102	3164	15728640	8192	162.752	6.14433	2.54299	8	
8	128	4096	1920	4.008	19847	19756	91	7864320	4096	479.041	2.0875	7.48502	8	
8	128	8192	1920	10.2242	39471	39091	380	15728640	8192	187.791	5.32508	2.93423	8	